Region Code,Region Name,Country Code,Country Name,Year,Sex,Age group code,Age Group,Number,Percentage of cause-specific deaths out of total deaths,Death rate per 100 000 population
EU,Europe,ALB,Albania,2000,Female,Age60_64,[60-64],0,0,0
EU,Europe,ALB,Albania,2001,Female,Age85_over,[85+],1,0.0694927,9.77421562
EU,Europe,ALB,Albania,2002,Female,Age85_over,[85+],0,0,0
EU,Europe,ALB,Albania,2003,All,Age80_84,[80-84],1,0.03568879,3.76931775
EU,Europe,ALB,Albania,2001,Male,Age70_74,[70-74],3,0.24057739,9.42359039
EU,Europe,ALB,Albania,2001,Female,Age60_64,[60-64],1,0.3021148,1.80472839
EU,Europe,ALB,Albania,2001,All,Age65_69,[65-69],3,0.21037868,3.42442298
EU,Europe,ALB,Albania,2001,Male,Age60_64,[60-64],1,0.12870013,1.72833958
EU,Europe,ALB,Albania,2003,Female,Age85_over,[85+],0,0,0
EU,Europe,ALB,Albania,2003,Female,Age75_79,[75-79],5,0.42158516,20.53641106
EU,Europe,ALB,Albania,2004,Female,Age60_64,[60-64],1,0.23364486,1.66552856
EU,Europe,ALB,Albania,2004,Female,Age85_over,[85+],0,0,0
EU,Europe,ALB,Albania,2005,Male,Age80_84,[80-84],0,0,0
EU,Europe,ALB,Albania,2005,Female,Age65_69,[65-69],0,0,0
EU,Europe,ALB,Albania,2003,Male,Age60_64,[60-64],7,0.87173101,11.73689241
EU,Europe,ALB,Albania,2003,Male,Age85_over,[85+],0,0,0
EU,Europe,ALB,Albania,2007,Male,Age85_over,[85+],4,0.3606853,65.64910553
EU,Europe,ALB,Albania,2006,Male,Age80_84,[80-84],0,0,0
EU,Europe,ALB,Albania,2006,Female,Age65_69,[65-69],0,0,0
EU,Europe,ALB,Albania,2007,Male,Age60_64,[60-64],4,0.72072072,7.08981017
EU,Europe,ALB,Albania,2007,Female,Age75_79,[75-79],0,0,0
EU,Europe,ALB,Albania,2007,Female,Age85_over,[85+],1,0.05521811,7.99296619
EU,Europe,ALB,Albania,2008,All,Age80_84,[80-84],2,0.08136697,6.93553421
EU,Europe,ALB,Albania,2000,Female,Age65_69,[65-69],0,0,0
EU,Europe,ALB,Albania,2000,All,Age60_64,[60-64],3,0.28063611,3.08641975
EU,Europe,ALB,Albania,2000,All,Age85_over,[85+],0,0,0
EU,Europe,ALB,Albania,2001,All,Age60_64,[60-64],2,0.18050542,1.76570818
EU,Europe,ALB,Albania,2003,All,Age85_over,[85+],0,0,0
EU,Europe,ALB,Albania,2002,Female,Age80_84,[80-84],1,0.08396306,6.71817266
EU,Europe,ALB,Albania,2005,Female,Age60_64,[60-64],0,0,0
EU,Europe,ALB,Albania,2005,Female,Age70_74,[70-74],0,0,0
EU,Europe,ALB,Albania,2006,All,Age60_64,[60-64],0,0,0
EU,Europe,ALB,Albania,2005,Male,Age85_over,[85+],0,0,0
EU,Europe,ALB,Albania,2006,All,Age85_over,[85+],0,0,0
EU,Europe,ALB,Albania,2001,Male,Age65_69,[65-69],2,0.20855057,4.42262616
EU,Europe,ALB,Albania,2002,All,Age60_64,[60-64],4,0.35304501,3.52895508
EU,Europe,ALB,Albania,2002,All,Age85_over,[85+],1,0.03742515,7.14438808
EU,Europe,ALB,Albania,2003,Female,Age80_84,[80-84],1,0.06958942,6.32391071
EU,Europe,ALB,Albania,2006,Female,Age60_64,[60-64],0,0,0
EU,Europe,ALB,Albania,2006,Female,Age70_74,[70-74],0,0,0
EU,Europe,ALB,Albania,2006,Male,Age75_79,[75-79],0,0,0
EU,Europe,ALB,Albania,2005,All,Age85_over,[85+],0,0,0
EU,Europe,ALB,Albania,2007,All,Age85_over,[85+],5,0.17123288,26.87594066
EU,Europe,ALB,Albania,2007,Female,Age80_84,[80-84],2,0.16949153,12.30920729
EU,Europe,ALB,Albania,2008,All,Age75_79,[75-79],4,0.15485869,7.15793994
EU,Europe,ALB,Albania,2008,All,Age85_over,[85+],1,0.02962085,5.20183104
EU,Europe,ALB,Albania,2001,All,Age80_84,[80-84],0,0,0
